species,food,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calories,omega3_mg,omega6_mg,bioavailability_score,glycemic_index,ingredient_cost_usd,toxin_flag,protein_match,fat_match,carb_tolerance,sugar_risk,omega_balance,bioavailability_match,glycemic_risk,digestibility_index,fiber_compatibility,predicted_caloric_density,health_grade
Dog,Potato (Cooked),1.7,0.1,17.0,1.3,0.8,77.0,5.0,20.0,0.65,78.0,0.1,0.0,0.04722222222222222,1.0,1.0,0.04,0.015909090909090907,0.65,0.78,0.5525,0.8300000000000001,0.3289,D
Dog,Carrot (Raw),0.9,0.2,9.6,2.8,4.7,41.0,2.0,60.0,0.6,35.0,0.08,0.0,0.025,1.0,1.0,0.23500000000000001,0.01818181818181818,0.6,0.35,0.51,0.98,0.3111,B
Dog,Broccoli,2.8,0.4,7.0,2.6,1.7,34.0,30.0,20.0,0.7,15.0,0.15,0.0,0.07777777777777778,1.0,1.0,0.08499999999999999,0.07272727272727272,0.7,0.15,0.595,0.96,0.3035,B
Dog,Spinach,2.9,0.4,3.6,2.2,0.4,23.0,140.0,30.0,0.62,15.0,0.2,0.0,0.08055555555555555,1.0,1.0,0.02,0.325,0.62,0.15,0.527,0.92,0.2911,B
Dog,Green Beans,1.8,0.2,7.0,3.4,3.3,31.0,15.0,40.0,0.68,15.0,0.12,0.0,0.05,1.0,1.0,0.16499999999999998,0.04318181818181818,0.68,0.15,0.5780000000000001,0.96,0.3044,C
Dog,Pumpkin,1.0,0.1,6.5,0.5,2.8,26.0,5.0,3.0,0.72,75.0,0.12,0.0,0.027777777777777776,1.0,1.0,0.13999999999999999,0.012045454545454547,0.72,0.75,0.612,0.75,0.3026,D
Dog,Peas,5.4,0.4,14.5,5.5,5.9,81.0,45.0,100.0,0.75,48.0,0.15,0.0,0.15000000000000002,1.0,1.0,0.29500000000000004,0.125,0.75,0.48,0.6375,0.75,0.3322,C
Dog,Apple,0.3,0.2,13.8,2.4,10.4,52.0,10.0,40.0,0.55,36.0,0.18,0.0,0.008333333333333333,1.0,1.0,0.52,0.031818181818181815,0.55,0.36,0.4675,0.94,0.3042,D
Dog,Banana,1.1,0.3,22.8,2.6,12.2,89.0,30.0,50.0,0.6,51.0,0.12,0.0,0.030555555555555558,1.0,1.0,0.61,0.07954545454545454,0.6,0.51,0.51,0.96,0.3295,D
Dog,Blueberry,0.7,0.3,14.5,2.4,10.0,57.0,85.0,100.0,0.65,53.0,0.8,0.0,0.019444444444444445,1.0,1.0,0.5,0.2159090909090909,0.65,0.53,0.5525,0.94,0.2488,D
Dog,Watermelon,0.6,0.2,7.6,0.4,6.2,30.0,2.0,10.0,0.55,72.0,0.1,0.0,0.016666666666666666,1.0,1.0,0.31,0.006818181818181818,0.55,0.72,0.4675,0.74,0.3028,D
Dog,Strawberry,0.7,0.3,7.7,2.0,4.9,32.0,65.0,90.0,0.6,40.0,0.4,0.0,0.019444444444444445,1.0,1.0,0.24500000000000002,0.16818181818181818,0.6,0.4,0.51,0.9,0.2749,C
Dog,Mango,0.8,0.4,15.0,1.6,13.7,60.0,50.0,20.0,0.58,56.0,0.35,0.0,0.022222222222222223,1.0,1.0,0.6849999999999999,0.11818181818181818,0.58,0.56,0.49299999999999994,0.86,0.2921,C
Dog,Orange,0.9,0.1,11.8,2.4,9.4,47.0,10.0,30.0,0.5,43.0,0.15,0.0,0.025,1.0,1.0,0.47000000000000003,0.029545454545454545,0.5,0.43,0.425,0.94,0.3033,D
Dog,Pineapple,0.5,0.1,13.1,1.4,9.9,50.0,20.0,8.0,0.55,59.0,0.25,0.0,0.013888888888888888,1.0,1.0,0.495,0.04727272727272727,0.55,0.59,0.4675,0.84,0.2964,E
Dog,Avocado,2.0,14.7,8.5,6.7,0.7,160.0,110.0,1690.0,0.7,15.0,0.6,0.8,0.05555555555555555,1.0,1.0,0.034999999999999996,0.634090909090909,0.7,0.15,0.595,0.63,0.3271,F
Dog,Coconut (Raw),3.3,33.5,15.2,9.0,6.2,354.0,0.0,370.0,0.55,45.0,0.5,0.0,0.09166666666666666,0.6599999999999999,1.0,0.31,0.08409090909090909,0.55,0.45,0.4675,0.4,0.4014,D
Dog,Peanut Butter,25.1,50.4,20.0,6.0,9.2,588.0,30.0,7800.0,0.8,14.0,0.4,0.0,0.6972222222222223,0.0,1.0,0.45999999999999996,0.5681818181818181,0.8,0.14,0.68,0.7,0.6259,C
Dog,Almonds,21.2,49.4,21.7,12.2,4.4,579.0,6.0,12100.0,0.75,15.0,0.85,0.0,0.5888888888888889,0.02400000000000002,1.0,0.22000000000000003,0.5136363636363637,0.75,0.15,0.6375,0.08000000000000007,0.5527,C
Dog,Walnuts,15.2,65.2,13.7,6.7,2.6,654.0,9080.0,38100.0,0.78,15.0,0.9,0.0,0.4222222222222222,0.0,1.0,0.13,1.0,0.78,0.15,0.663,0.63,0.6068,B
Dog,Sunflower Seeds,20.8,51.5,20.0,8.6,2.6,584.0,74.0,23100.0,0.72,35.0,0.5,0.0,0.5777777777777778,0.0,1.0,0.13,0.6681818181818182,0.72,0.35,0.612,0.44000000000000006,0.577,C
Dog,Flaxseed,18.3,42.2,28.9,27.3,1.5,534.0,22800.0,5900.0,0.45,0.0,0.55,0.0,0.5083333333333333,0.31199999999999983,1.0,0.075,1.0,0.45,0.0,0.3825,0.0,0.4319,B
Dog,Chia Seeds,16.5,30.7,42.1,34.4,0.0,486.0,17800.0,5800.0,0.5,1.0,0.7,0.0,0.4583333333333333,0.772,0.9159999999999999,0.0,1.0,0.5,0.01,0.425,0.0,0.419,A
Dog,Chocolate (Dark),7.8,42.6,45.9,10.9,24.0,546.0,0.0,330.0,0.6,23.0,0.8,1.0,0.21666666666666667,0.29600000000000004,0.7640000000000002,1.0,0.075,0.6,0.23,0.51,0.20999999999999996,0.4748,F
Dog,Chocolate (Milk),7.6,29.7,59.4,3.4,52.0,535.0,0.0,210.0,0.55,42.0,0.65,0.8,0.2111111111111111,0.812,0.2240000000000002,1.0,0.04772727272727273,0.55,0.42,0.4675,0.96,0.4639,F
Dog,Grapes,0.7,0.2,18.1,0.9,15.5,69.0,10.0,80.0,0.52,59.0,0.3,0.8,0.019444444444444445,1.0,1.0,0.775,0.04090909090909091,0.52,0.59,0.442,0.79,0.2979,F
Dog,Raisins,3.1,0.5,79.2,3.7,59.2,299.0,5.0,30.0,0.48,64.0,0.45,0.8,0.08611111111111111,1.0,0.0,1.0,0.01818181818181818,0.48,0.64,0.408,0.9299999999999999,0.3666,F
Dog,Onion (Raw),1.1,0.1,9.3,1.7,4.2,40.0,4.0,10.0,0.45,10.0,0.08,0.5,0.030555555555555558,1.0,1.0,0.21000000000000002,0.011363636363636364,0.45,0.1,0.3825,0.87,0.306,E
Dog,Garlic,6.4,0.5,33.1,2.1,1.0,149.0,20.0,250.0,0.5,30.0,0.25,0.5,0.17777777777777778,1.0,1.0,0.05,0.10227272727272727,0.5,0.3,0.425,0.91,0.3329,E
Dog,Mushroom,3.1,0.3,3.3,1.0,2.0,22.0,0.0,370.0,0.6,15.0,0.3,0.0,0.08611111111111111,1.0,1.0,0.1,0.08409090909090909,0.6,0.15,0.51,0.8,0.2803,B
Dog,Tomato,0.9,0.2,3.9,1.2,2.6,18.0,3.0,80.0,0.55,15.0,0.12,0.0,0.025,1.0,1.0,0.13,0.024999999999999998,0.55,0.15,0.4675,0.8200000000000001,0.2957,C
Dog,Celery,0.7,0.2,3.0,1.6,1.3,14.0,8.0,80.0,0.58,15.0,0.1,0.0,0.019444444444444445,1.0,1.0,0.065,0.03636363636363636,0.58,0.15,0.49299999999999994,0.86,0.2963,C
Dog,Cucumber,0.7,0.1,3.6,0.5,1.7,15.0,3.0,30.0,0.6,15.0,0.1,0.0,0.019444444444444445,1.0,1.0,0.08499999999999999,0.013636363636363636,0.6,0.15,0.51,0.75,0.297,C
Dog,Zucchini,1.2,0.3,3.1,1.0,2.5,17.0,10.0,30.0,0.65,15.0,0.12,0.0,0.03333333333333333,1.0,1.0,0.125,0.029545454545454545,0.65,0.15,0.5525,0.8,0.2966,C
Dog,Bell Pepper,0.9,0.3,6.0,2.1,4.2,31.0,8.0,50.0,0.62,15.0,0.2,0.0,0.025,1.0,1.0,0.21000000000000002,0.029545454545454545,0.62,0.15,0.527,0.91,0.2949,C
Dog,Kale,4.3,0.9,8.8,3.6,2.3,49.0,180.0,110.0,0.6,15.0,0.25,0.0,0.11944444444444444,1.0,1.0,0.11499999999999999,0.43409090909090914,0.6,0.15,0.51,0.94,0.2979,A
Dog,Cabbage,1.3,0.1,5.8,2.5,3.2,25.0,50.0,20.0,0.55,10.0,0.08,0.0,0.036111111111111115,1.0,1.0,0.16,0.11818181818181818,0.55,0.1,0.4675,0.95,0.3027,B
Dog,Cauliflower,1.9,0.3,5.0,2.0,1.9,25.0,30.0,10.0,0.58,15.0,0.15,0.0,0.05277777777777778,1.0,1.0,0.095,0.07045454545454545,0.58,0.15,0.49299999999999994,0.9,0.2963,C
Dog,Asparagus,2.2,0.1,3.9,2.1,1.9,20.0,10.0,80.0,0.65,15.0,0.35,0.0,0.061111111111111116,1.0,1.0,0.095,0.04090909090909091,0.65,0.15,0.5525,0.91,0.2751,B
Dog,Beet,1.6,0.2,9.6,2.8,6.8,43.0,5.0,60.0,0.55,61.0,0.15,0.0,0.044444444444444446,1.0,1.0,0.33999999999999997,0.025,0.55,0.61,0.4675,0.98,0.3034,D
Dog,Corn (Sweet),3.4,1.5,19.0,2.7,6.3,86.0,18.0,960.0,0.68,52.0,0.1,0.0,0.09444444444444444,1.0,1.0,0.315,0.2590909090909091,0.68,0.52,0.5780000000000001,0.97,0.3355,C
Dog,Lentils (Cooked),9.0,0.4,20.1,7.9,1.8,116.0,40.0,250.0,0.65,32.0,0.15,0.0,0.25,1.0,1.0,0.09,0.14772727272727273,0.65,0.32,0.5525,0.51,0.3436,B
Dog,Chickpeas (Cooked),8.9,2.6,27.4,7.6,4.8,164.0,40.0,2450.0,0.62,28.0,0.18,0.0,0.24722222222222223,1.0,1.0,0.24,0.5909090909090909,0.62,0.28,0.527,0.54,0.3611,A
Dog,Black Beans (Cooked),8.9,0.5,23.7,8.7,0.3,132.0,30.0,120.0,0.6,30.0,0.12,0.0,0.24722222222222223,1.0,1.0,0.015,0.09545454545454544,0.6,0.3,0.51,0.43000000000000005,0.3496,B
Dog,Tofu,8.0,4.8,1.9,0.3,0.6,76.0,370.0,2890.0,0.7,15.0,0.3,0.0,0.2222222222222222,1.0,1.0,0.03,1.0,0.7,0.15,0.595,0.73,0.3114,A
Dog,Sardine,24.6,11.5,0.0,0.0,0.0,208.0,1480.0,120.0,0.93,0.0,0.55,0.0,0.6833333333333333,1.0,1.0,0.0,0.5272727272727272,0.93,0.0,0.7905,0.7,0.3955,A
Dog,Shrimp,24.0,0.3,0.2,0.0,0.0,99.0,540.0,50.0,0.91,0.0,0.8,0.0,0.6666666666666666,1.0,1.0,0.0,0.5113636363636364,0.91,0.0,0.7735,0.7,0.2901,A
Dog,Cod,17.8,0.7,0.0,0.0,0.0,82.0,200.0,10.0,0.92,0.0,0.7,0.0,0.49444444444444446,1.0,1.0,0.0,0.4568181818181818,0.92,0.0,0.782,0.7,0.2887,A
Dog,Mackerel,18.6,13.9,0.0,0.0,0.0,205.0,2670.0,190.0,0.94,0.0,0.65,0.0,0.5166666666666667,1.0,1.0,0.0,0.5431818181818182,0.94,0.0,0.7989999999999999,0.7,0.3849,A
Dog,Liver (Beef),20.4,3.6,3.9,0.0,0.0,135.0,30.0,350.0,0.9,0.0,0.4,0.0,0.5666666666666667,1.0,1.0,0.0,0.1477272727272727,0.9,0.0,0.765,0.7,0.3545,A
Dog,Liver (Chicken),16.9,4.8,0.7,0.0,0.0,119.0,50.0,650.0,0.89,0.0,0.35,0.0,0.4694444444444444,1.0,1.0,0.0,0.26136363636363635,0.89,0.0,0.7565,0.7,0.3474,A
Dog,Heart (Beef),17.7,3.9,0.1,0.0,0.0,112.0,20.0,280.0,0.88,0.0,0.3,0.0,0.49166666666666664,1.0,1.0,0.0,0.10909090909090909,0.88,0.0,0.748,0.7,0.3467,A
Dog,Kidney (Beef),17.4,3.1,0.3,0.0,0.0,99.0,40.0,300.0,0.85,0.0,0.35,0.0,0.4833333333333333,1.0,1.0,0.0,0.1590909090909091,0.85,0.0,0.7224999999999999,0.7,0.3304,A
Dog,Bone Meal,12.0,6.0,0.0,0.0,0.0,100.0,10.0,50.0,0.4,0.0,0.15,0.0,0.3333333333333333,1.0,1.0,0.0,0.03409090909090909,0.4,0.0,0.34,0.7,0.3161,A
Dog,Kelp,1.7,0.6,9.6,1.3,0.6,43.0,20.0,10.0,0.35,22.0,0.2,0.0,0.04722222222222222,1.0,1.0,0.03,0.04772727272727273,0.35,0.22,0.2975,0.8300000000000001,0.2917,C
Dog,Spirulina,57.5,7.7,23.9,3.6,3.1,290.0,820.0,1250.0,0.5,0.0,1.5,0.0,1.0,1.0,1.0,0.155,0.7840909090909092,0.5,0.0,0.425,0.94,0.2628,A
Dog,Wheatgrass,24.0,2.0,52.0,36.0,0.5,349.0,10.0,80.0,0.4,15.0,0.6,0.0,0.6666666666666666,1.0,0.52,0.025,0.04090909090909091,0.4,0.15,0.34,0.0,0.3486,C
Dog,Honey,0.3,0.0,82.4,0.2,82.1,304.0,0.0,0.0,0.5,58.0,0.5,0.0,0.008333333333333333,1.0,0.0,1.0,0.0,0.5,0.58,0.425,0.72,0.3682,F
Dog,Xylitol,0.0,0.0,100.0,0.0,0.0,240.0,0.0,0.0,0.1,7.0,1.5,0.8,0.0,1.0,0.0,0.0,0.0,0.1,0.07,0.085,0.7,0.1687,F
Dog,Cinnamon,4.0,1.2,80.6,53.1,2.2,247.0,10.0,40.0,0.3,5.0,0.8,0.0,0.1111111111111111,1.0,0.0,0.11000000000000001,0.031818181818181815,0.3,0.05,0.255,0.0,0.2776,E
Dog,Turmeric,7.8,9.9,64.9,21.1,3.2,312.0,30.0,60.0,0.25,0.0,0.9,0.0,0.21666666666666667,1.0,0.0040000000000000036,0.16,0.08181818181818182,0.25,0.0,0.2125,0.0,0.2707,D
Dog,Ginger,1.8,0.8,17.8,2.0,1.7,80.0,30.0,100.0,0.45,0.0,0.35,0.0,0.05,1.0,1.0,0.08499999999999999,0.09090909090909091,0.45,0.0,0.3825,0.9,0.293,B
Dog,Parsley,3.0,0.8,6.3,3.3,0.9,36.0,8.0,120.0,0.55,5.0,0.2,0.0,0.08333333333333333,1.0,1.0,0.045,0.045454545454545456,0.55,0.05,0.4675,0.97,0.2954,A
Dog,Coconut Oil,0.0,99.1,0.0,0.0,0.0,862.0,0.0,1800.0,0.85,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.4090909090909091,0.85,0.0,0.7224999999999999,0.7,0.8099,D
Dog,Fish Oil,0.0,100.0,0.0,0.0,0.0,902.0,35310.0,1540.0,0.9,0.0,1.2,0.0,0.0,0.0,1.0,0.0,0.85,0.9,0.0,0.765,0.7,0.81,A
Dog,Olive Oil,0.0,100.0,0.0,0.0,0.0,884.0,760.0,9760.0,0.85,0.0,0.8,0.0,0.0,0.0,1.0,0.0,1.0,0.85,0.0,0.7224999999999999,0.7,0.8044,A
Dog,Butter,0.9,81.1,0.1,0.0,0.1,717.0,320.0,2170.0,0.82,0.0,0.5,0.0,0.025,0.0,1.0,0.005,0.9931818181818182,0.82,0.0,0.697,0.7,0.7073,B
Dog,Pumpkin Seeds,30.2,49.1,10.7,6.0,1.4,559.0,120.0,20700.0,0.72,25.0,0.65,0.0,0.8388888888888889,0.03600000000000003,1.0,0.06999999999999999,0.7727272727272727,0.72,0.25,0.612,0.7,0.548,A
Dog,Hemp Seeds,31.6,48.8,8.7,4.0,1.5,553.0,8680.0,28700.0,0.75,0.0,0.95,0.0,0.8777777777777778,0.04800000000000004,1.0,0.075,1.0,0.75,0.0,0.6375,0.9,0.5276,A
Dog,Cranberry,0.5,0.1,12.2,4.6,4.0,46.0,20.0,30.0,0.5,45.0,0.7,0.0,0.013888888888888888,1.0,1.0,0.2,0.052272727272727276,0.5,0.45,0.425,0.8400000000000001,0.2479,C
Dog,Papaya,0.5,0.3,10.8,1.7,7.8,43.0,25.0,5.0,0.6,60.0,0.3,0.0,0.013888888888888888,1.0,1.0,0.39,0.05795454545454545,0.6,0.6,0.51,0.87,0.2901,C
Dog,Cantaloupe,0.8,0.2,8.2,0.9,7.9,34.0,5.0,3.0,0.58,65.0,0.2,0.0,0.022222222222222223,1.0,1.0,0.395,0.012045454545454547,0.58,0.65,0.49299999999999994,0.79,0.2953,C
Dog,Peach,0.9,0.3,9.5,1.5,8.4,39.0,2.0,80.0,0.55,42.0,0.25,0.0,0.025,1.0,1.0,0.42000000000000004,0.022727272727272728,0.55,0.42,0.4675,0.85,0.2917,D
Dog,Plum,0.7,0.3,11.4,1.4,9.9,46.0,35.0,45.0,0.52,39.0,0.25,0.0,0.019444444444444445,1.0,1.0,0.495,0.08977272727272727,0.52,0.39,0.442,0.84,0.2936,D
Dog,Venison,30.2,3.2,0.0,0.0,0.0,158.0,80.0,200.0,0.93,0.0,1.5,0.0,0.8388888888888889,1.0,1.0,0.0,0.2272727272727273,0.93,0.0,0.7905,0.7,0.2643,A
Dog,Bison,28.4,7.2,0.0,0.0,0.0,188.0,100.0,250.0,0.92,0.0,1.8,0.0,0.7888888888888889,1.0,1.0,0.0,0.28409090909090906,0.92,0.0,0.782,0.7,0.2545,A
Dog,Quail Egg,13.1,11.1,0.4,0.0,0.4,158.0,40.0,950.0,0.9,0.0,0.5,0.0,0.3638888888888889,1.0,1.0,0.02,0.3068181818181818,0.9,0.0,0.765,0.7,0.3606,A
Dog,Anchovy,20.4,4.8,0.0,0.0,0.0,131.0,1478.0,97.0,0.91,0.0,0.55,0.0,0.5666666666666667,1.0,1.0,0.0,0.5220454545454546,0.91,0.0,0.7735,0.7,0.3377,A
Dog,Herring,17.9,9.0,0.0,0.0,0.0,158.0,1729.0,130.0,0.92,0.0,0.5,0.0,0.4972222222222222,1.0,1.0,0.0,0.5295454545454545,0.92,0.0,0.782,0.7,0.3631,A
Dog,Trout,19.9,3.5,0.0,0.0,0.0,119.0,812.0,280.0,0.91,0.0,0.85,0.0,0.5527777777777777,1.0,1.0,0.0,0.5636363636363636,0.91,0.0,0.7735,0.7,0.2992,A
Dog,Rabbit Meat,20.1,3.5,0.0,0.0,0.0,114.0,220.0,900.0,0.88,0.0,1.2,0.0,0.5583333333333333,1.0,1.0,0.0,0.7045454545454546,0.88,0.0,0.748,0.7,0.258,A
Dog,Goat Meat,20.6,2.3,0.0,0.0,0.0,109.0,40.0,290.0,0.87,0.0,1.1,0.0,0.5722222222222223,1.0,1.0,0.0,0.1568181818181818,0.87,0.0,0.7394999999999999,0.7,0.2638,A
Dog,Barley (Cooked),2.3,0.4,28.2,3.8,0.3,123.0,20.0,350.0,0.6,28.0,0.1,0.0,0.06388888888888888,1.0,1.0,0.015,0.125,0.6,0.28,0.51,0.92,0.3474,B
Dog,Millet (Cooked),3.5,1.0,23.7,1.3,0.0,119.0,10.0,600.0,0.58,71.0,0.12,0.0,0.09722222222222222,1.0,1.0,0.0,0.1590909090909091,0.58,0.71,0.49299999999999994,0.8300000000000001,0.3417,C
Dog,Buckwheat (Cooked),3.4,0.6,19.9,2.7,0.9,92.0,40.0,350.0,0.65,54.0,0.15,0.0,0.09444444444444444,1.0,1.0,0.045,0.17045454545454547,0.65,0.54,0.5525,0.97,0.3315,C
Dog,Amaranth (Cooked),3.8,1.6,18.7,2.1,0.0,102.0,30.0,1100.0,0.6,35.0,0.3,0.0,0.10555555555555556,1.0,1.0,0.0,0.3181818181818182,0.6,0.35,0.51,0.91,0.3176,B
Dog,Sorghum (Cooked),3.5,0.6,23.9,1.6,0.0,111.0,15.0,700.0,0.55,62.0,0.1,0.0,0.09722222222222222,1.0,1.0,0.0,0.19318181818181818,0.55,0.62,0.4675,0.86,0.3375,C
Dog,Cricket Flour,65.0,14.0,5.0,3.0,0.0,420.0,200.0,3200.0,0.8,0.0,2.5,0.0,1.0,1.0,1.0,0.0,0.9545454545454546,0.8,0.0,0.68,1.0,0.3113,A
Dog,Duck Egg,13.3,13.8,1.5,0.0,1.2,185.0,100.0,1400.0,0.9,0.0,0.65,0.0,0.36944444444444446,1.0,1.0,0.06,0.5454545454545454,0.9,0.0,0.765,0.7,0.3645,A
Dog,Goose Meat,22.8,7.1,0.0,0.0,0.0,161.0,180.0,750.0,0.86,0.0,1.4,0.0,0.6333333333333333,1.0,1.0,0.0,0.5795454545454546,0.86,0.0,0.731,0.7,0.2677,A
Dog,Pheasant,23.6,3.6,0.0,0.0,0.0,133.0,150.0,870.0,0.88,0.0,1.6,0.0,0.6555555555555556,1.0,1.0,0.0,0.5386363636363636,0.88,0.0,0.748,0.7,0.231,A
Dog,Ostrich,20.9,2.0,0.0,0.0,0.0,111.0,60.0,300.0,0.89,0.0,2.0,0.0,0.5805555555555555,1.0,1.0,0.0,0.20454545454545453,0.89,0.0,0.7565,0.7,0.1768,A
Dog,Crab Meat,18.1,1.1,0.0,0.0,0.0,83.0,380.0,20.0,0.88,0.0,1.5,0.0,0.5027777777777778,1.0,1.0,0.0,0.5045454545454545,0.88,0.0,0.748,0.7,0.2068,A
Dog,Mussel,11.9,2.2,3.7,0.0,0.0,86.0,680.0,18.0,0.82,0.0,0.7,0.0,0.33055555555555555,1.0,1.0,0.0,0.5040909090909091,0.82,0.0,0.697,0.7,0.2848,A
Dog,Clam,14.7,1.0,2.6,0.0,0.0,86.0,284.0,12.0,0.8,0.0,0.65,0.0,0.4083333333333333,1.0,1.0,0.0,0.5027272727272727,0.8,0.0,0.68,0.7,0.2885,A
Dog,Squid,15.6,1.4,3.1,0.0,0.0,92.0,500.0,8.0,0.78,0.0,0.55,0.0,0.43333333333333335,1.0,1.0,0.0,0.5018181818181818,0.78,0.0,0.663,0.7,0.3008,A
Dog,Oyster,9.5,2.5,4.9,0.0,0.0,81.0,740.0,30.0,0.75,0.0,0.9,0.0,0.2638888888888889,1.0,1.0,0.0,0.5068181818181818,0.75,0.0,0.6375,0.7,0.2572,A
Dog,Tilapia,20.1,1.7,0.0,0.0,0.0,96.0,210.0,200.0,0.9,0.0,0.5,0.0,0.5583333333333333,1.0,1.0,0.0,0.5227272727272727,0.9,0.0,0.765,0.7,0.3172,A
Dog,Catfish,13.0,7.0,0.0,0.0,0.0,119.0,320.0,440.0,0.86,0.0,0.45,0.0,0.3611111111111111,1.0,1.0,0.0,0.6,0.86,0.0,0.731,0.7,0.3346,A
Dog,Lamb Liver,20.4,5.5,1.8,0.0,0.0,139.0,50.0,400.0,0.88,0.0,0.4,0.0,0.5666666666666667,1.0,1.0,0.0,0.20454545454545453,0.88,0.0,0.748,0.7,0.3551,A
Dog,Chicken Gizzard,17.7,2.1,0.0,0.0,0.0,94.0,20.0,300.0,0.84,0.0,0.25,0.0,0.49166666666666664,1.0,1.0,0.0,0.11363636363636363,0.84,0.0,0.714,0.7,0.3364,A
